Timestamp,WindSpeed_m_s,Temperature_C,ActivePower_kW
2020-01-01 00:00:00,10.33,4.51,1238.46
2020-01-01 01:00:00,10.78,4.41,1493.29
2020-01-01 02:00:00,11.26,4.51,1786.34
2020-01-01 03:00:00,11.62,5.41,2015.23
2020-01-01 04:00:00,11.84,5.97,2196.64
2020-01-01 05:00:00,11.71,3.66,2078.8
2020-01-01 06:00:00,11.73,5.13,2081.79
2020-01-01 07:00:00,11.45,4.95,1881.88
2020-01-01 08:00:00,11.26,4.55,1776.61
2020-01-01 09:00:00,10.91,5.14,1573.47
2020-01-01 10:00:00,10.54,4.73,1366.51
2020-01-01 11:00:00,10.26,6.52,1198.34
2020-01-01 12:00:00,9.98,4.26,1061.97
2020-01-01 13:00:00,9.49,3.87,867.55
2020-01-01 14:00:00,9.01,5.03,681.94
2020-01-01 15:00:00,8.46,5.01,511.22
2020-01-01 16:00:00,8.15,4.82,429.11
2020-01-01 17:00:00,7.97,3.25,389.13
2020-01-01 18:00:00,7.84,4.91,356.81
2020-01-01 19:00:00,7.74,5.67,333.56
2020-01-01 20:00:00,8.13,6.77,431.01
2020-01-01 21:00:00,8.31,4.97,472.54
2020-01-01 22:00:00,8.83,5.11,631.12
2020-01-01 23:00:00,9.19,6.63,751.26
2020-01-02 00:00:00,9.83,4.41,997.37
2020-01-02 01:00:00,10.13,6.02,1150.76
2020-01-02 02:00:00,10.51,4.54,1344.26
2020-01-02 03:00:00,10.87,5.56,1538.77
2020-01-02 04:00:00,11.19,4.94,1726.18
2020-01-02 05:00:00,11.25,3.76,1773.31
2020-01-02 06:00:00,11.36,5.0,1838.73
2020-01-02 07:00:00,11.45,7.84,1893.23
2020-01-02 08:00:00,11.21,3.16,1760.34
2020-01-02 09:00:00,10.78,4.1,1472.37
2020-01-02 10:00:00,10.46,5.37,1305.48
2020-01-02 11:00:00,10.02,6.06,1098.95
2020-01-02 12:00:00,9.47,4.24,852.67
2020-01-02 13:00:00,8.96,3.43,671.26
2020-01-02 14:00:00,8.45,4.84,509.04
2020-01-02 15:00:00,8.35,4.38,485.47
2020-01-02 16:00:00,8.14,3.93,428.97
2020-01-02 17:00:00,7.97,5.13,384.19
2020-01-02 18:00:00,7.93,5.17,380.2
2020-01-02 19:00:00,7.91,5.73,371.74
2020-01-02 20:00:00,8.19,6.14,445.67
2020-01-02 21:00:00,8.48,4.37,516.25
2020-01-02 22:00:00,8.94,4.29,662.18
2020-01-02 23:00:00,9.29,4.94,783.17
2020-01-03 00:00:00,9.86,6.29,1010.12
2020-01-03 01:00:00,10.42,5.71,1290.9
2020-01-03 02:00:00,10.98,3.7,1610.96
2020-01-03 03:00:00,11.51,5.69,1931.77
2020-01-03 04:00:00,11.65,3.82,2023.7
2020-01-03 05:00:00,11.92,5.29,2241.19
2020-01-03 06:00:00,12.12,4.54,2294.7
2020-01-03 07:00:00,12.13,6.54,2287.84
2020-01-03 08:00:00,11.85,4.35,2207.84
2020-01-03 09:00:00,11.58,5.54,1995.52
2020-01-03 10:00:00,11.01,5.31,1614.3
2020-01-03 11:00:00,10.65,3.48,1402.6
2020-01-03 12:00:00,10.1,5.3,1137.12
2020-01-03 13:00:00,9.61,5.46,917.09
2020-01-03 14:00:00,9.04,5.41,697.79
2020-01-03 15:00:00,8.71,5.4,584.77
2020-01-03 16:00:00,8.52,3.83,529.56
2020-01-03 17:00:00,8.55,5.27,542.31
2020-01-03 18:00:00,8.39,4.16,496.94
2020-01-03 19:00:00,8.43,4.38,502.55
2020-01-03 20:00:00,8.72,3.69,593.75
